#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
1   1   5.000000   0.020000   0.032595   2426.617398  1.664993770000e-03   1.611347900000e-03    6.861377369882e-07   6.640304735835e-07   80
1   2   5.000000   0.060000   0.061829   2239.677623  4.041053160000e-04   3.848541260000e-04    1.804301261262e-07   1.718346078238e-07   80
1   3   5.000000   0.100000   0.098778   1923.172663  7.400881200000e-05   6.900457000000e-05    3.848266638969e-08   3.588059009343e-08   80
1   4   5.000000   0.140000   0.136459   1607.200800  1.644955830000e-05   1.503804970000e-05    1.023491171732e-08   9.356671363031e-09   80
1   5   5.000000   0.180000   0.174145   1468.691528  4.824728010000e-06   4.296293260000e-06    3.285051978594e-09   2.925252293006e-09   80
1   6   5.000000   0.220000   0.209935   1409.085061  1.790901540000e-06   1.569161890000e-06    1.270967658070e-09   1.113603382387e-09   80
1   7   5.000000   0.260000   0.245677   1384.962199  7.562710050000e-07   6.570753460000e-07    5.460589505952e-10   4.744355813281e-10   80
