#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
25.000000   0.032152   6.778546391367e-07
25.000000   0.062560   1.659606270401e-07
25.000000   0.099209   3.506249958844e-08
25.000000   0.137853   8.734213475558e-09
25.000000   0.176850   2.652397359750e-09
25.000000   0.216640   9.112020948063e-10
25.000000   0.256381   3.590746239495e-10
25.000000   0.296126   1.607622855652e-10
25.000000   0.334696   8.164376155120e-11
25.000000   0.386441   3.873866406610e-11
25.000000   0.428482   2.214646124253e-11
25.000000   0.463368   1.469003281767e-11
25.000000   0.507908   9.083052765425e-12
25.000000   0.543907   6.347543693933e-12
25.000000   0.581385   4.286619197481e-12
25.000000   0.620259   2.939491000719e-12
25.000000   0.659451   1.984003162015e-12
25.000000   0.699139   1.361358624676e-12
25.000000   0.738678   8.644140311687e-13
25.000000   0.778119   5.482363972941e-13
25.000000   0.817520   3.730414494519e-13
25.000000   0.857059   2.632476773908e-13
25.000000   0.896334   1.810927095338e-13
25.000000   0.935772   1.282401404544e-13
25.000000   0.973400   9.880949754954e-14
25.000000   1.015707   7.115189451165e-14
25.000000   1.054852   6.452264416113e-14
25.000000   1.093797   5.533861114117e-14
25.000000   1.132256   4.974018817154e-14
25.000000   1.170655   4.497771972595e-14
