#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
55.000000   0.031717   6.889024139362e-07
55.000000   0.062179   1.670343635034e-07
55.000000   0.099276   3.360781731397e-08
55.000000   0.138326   7.875400568635e-09
55.000000   0.178549   2.054483543175e-09
55.000000   0.218425   6.974088034818e-10
55.000000   0.258683   2.610175760618e-10
55.000000   0.298811   1.233362194296e-10
55.000000   0.338861   6.839002427345e-11
55.000000   0.379081   4.383400127792e-11
55.000000   0.419002   3.110178249601e-11
55.000000   0.467208   1.883253519052e-11
55.000000   0.503668   1.480182477351e-11
55.000000   0.541721   1.170932430252e-11
55.000000   0.580031   9.549906239708e-12
55.000000   0.624813   6.483697072059e-12
55.000000   0.661084   5.436651156686e-12
55.000000   0.697013   4.551369967015e-12
55.000000   0.740432   3.063638797922e-12
55.000000   0.779733   2.425377377542e-12
55.000000   0.818995   1.928303944138e-12
55.000000   0.858469   1.537683059922e-12
55.000000   0.897297   1.167018283762e-12
55.000000   0.936886   8.991225821580e-13
55.000000   0.976838   6.171299319650e-13
55.000000   1.015170   4.593364999209e-13
55.000000   1.056004   3.089961693874e-13
55.000000   1.092107   4.181680110672e-13
55.000000   1.132664   8.766754172268e-14
55.000000   1.172577   5.941265738954e-14
