#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
6   18   55.000000   0.700000   0.699462   6500.621398  2.680097330000e-08   4.363223540000e-08    4.122832520018e-12   6.712009933916e-12   580_set2
6   18   55.000000   0.700000   0.699512   8048.823867  3.316510100000e-08   4.809941350000e-08    4.120490340952e-12   5.975955530249e-12   750_set1
6   18   55.000000   0.700000   0.699547   6513.032110  2.683859130000e-08   4.242867600000e-08    4.120752185268e-12   6.514427578954e-12   580_set1
6   18   55.000000   0.700000   0.701027   7966.114632  3.243994710000e-08   4.593100400000e-08    4.072242065120e-12   5.765797521353e-12   750_set3
6   19   55.000000   0.740000   0.738856   6490.054869  1.944088380000e-08   3.185894710000e-08    2.995488357558e-12   4.908887173231e-12   580_set2
6   19   55.000000   0.740000   0.739322   6486.742647  1.935150850000e-08   3.181272370000e-08    2.983239748065e-12   4.904267893950e-12   580_set1
6   19   55.000000   0.740000   0.741071   8005.474732  2.355353530000e-08   3.923776000000e-08    2.942178457681e-12   4.901365791982e-12   750_set3
6   19   55.000000   0.740000   0.741124   7966.976211  2.343054670000e-08   3.574934600000e-08    2.940958536772e-12   4.487191257160e-12   750_set1
6   19   55.000000   0.740000   0.741785   7986.959756  2.336162510000e-08   3.716580940000e-08    2.924970929326e-12   4.653311214205e-12   750_set2
6   20   55.000000   0.780000   0.778705   6465.077977  1.389272420000e-08   2.316883020000e-08    2.148887337388e-12   3.583689211859e-12   580_set1
6   20   55.000000   0.780000   0.778818   6460.491189  1.387240370000e-08   2.442637270000e-08    2.147267644853e-12   3.780884763312e-12   580_set2
6   20   55.000000   0.780000   0.779448   7958.502178  1.701296310000e-08   2.909866910000e-08    2.137709171838e-12   3.656299696749e-12   750_set2
6   20   55.000000   0.780000   0.780416   7946.767799  1.685082730000e-08   2.988434580000e-08    2.120463026757e-12   3.760566126490e-12   750_set1
