#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
25.000000   0.032152   6.775507267096e-07
25.000000   0.062560   1.656358111310e-07
25.000000   0.099209   3.483949663492e-08
25.000000   0.137853   8.610398649831e-09
25.000000   0.176850   2.583160127681e-09
25.000000   0.216640   8.767378814907e-10
25.000000   0.256381   3.456419762775e-10
25.000000   0.296126   1.592659554302e-10
25.000000   0.334696   8.625552327500e-11
25.000000   0.386441   4.600777859319e-11
25.000000   0.428482   2.961016051563e-11
25.000000   0.463368   2.217668737053e-11
25.000000   0.507908   1.563952136017e-11
25.000000   0.543907   1.205307983996e-11
25.000000   0.581385   8.936029099227e-12
25.000000   0.620259   6.704933609429e-12
25.000000   0.659451   4.894652184433e-12
25.000000   0.699139   3.628330356902e-12
25.000000   0.738678   2.500373779240e-12
25.000000   0.778119   1.659682075665e-12
25.000000   0.817520   1.208962833716e-12
25.000000   0.857059   8.428932261383e-13
25.000000   0.896334   6.223552704873e-13
25.000000   0.935772   4.115062569943e-13
25.000000   0.973400   3.002065434379e-13
25.000000   1.015707   2.101656997957e-13
25.000000   1.054852   8.508281504197e-14
25.000000   1.093797   6.180720705407e-14
25.000000   1.132256   4.956642180898e-14
25.000000   1.170655   4.289653466265e-14
