#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
45.000000   0.031473   6.942057929781e-07
45.000000   0.062411   1.656091350157e-07
45.000000   0.099207   3.428398867851e-08
45.000000   0.138440   8.196215774194e-09
45.000000   0.178375   2.313324532000e-09
45.000000   0.218252   7.917259029412e-10
45.000000   0.257816   3.076366086415e-10
45.000000   0.297900   1.311781985907e-10
45.000000   0.337974   7.027264747293e-11
45.000000   0.378275   4.087508886739e-11
45.000000   0.426548   2.308755147734e-11
45.000000   0.463456   1.583880376375e-11
45.000000   0.501495   1.116644178310e-11
45.000000   0.546284   7.348349672135e-12
45.000000   0.582744   5.396935091041e-12
45.000000   0.621049   4.026159352011e-12
45.000000   0.659422   3.057811082938e-12
45.000000   0.696996   2.347361111577e-12
45.000000   0.739832   1.628876755900e-12
45.000000   0.779405   1.232585055528e-12
45.000000   0.819129   9.783060862447e-13
45.000000   0.858869   7.860076355673e-13
45.000000   0.898569   6.320759230206e-13
45.000000   0.938345   4.834721738503e-13
45.000000   0.978177   4.020295366233e-13
45.000000   1.017958   2.888832952472e-13
45.000000   1.057689   2.130159465944e-13
45.000000   1.097505   1.615631087798e-13
45.000000   1.137054   1.135025982667e-13
45.000000   1.173010   8.137376965693e-14
