#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
75.000000   0.032054   6.792943606406e-07
75.000000   0.061312   1.722899486863e-07
75.000000   0.097880   3.499349019062e-08
75.000000   0.137151   7.486792284949e-09
75.000000   0.176925   1.746827839341e-09
75.000000   0.217235   5.912339815872e-10
75.000000   0.258085   2.141400571147e-10
75.000000   0.299686   1.539247759830e-10
75.000000   0.339653   1.276424311328e-10
75.000000   0.379691   1.223593810137e-10
75.000000   0.419340   1.123620497761e-10
75.000000   0.458626   7.750526387293e-11
75.000000   0.498117   5.475424549802e-11
75.000000   0.537633   3.900549164187e-11
75.000000   0.576881   2.572248216304e-11
75.000000   0.615864   1.703178392424e-11
75.000000   0.653612   1.025064172304e-11
75.000000   0.693321   6.028352104696e-12
75.000000   0.734930   3.732381605639e-12
