#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
11   1   105.000000   0.020000   0.029324   2570.171372  2.020484740000e-03   1.971192630000e-03    7.861284122964e-07   7.669498818151e-07   80
11   2   105.000000   0.060000   0.059195   2577.164607  5.207058720000e-04   4.956658020000e-04    2.020460278655e-07   1.923298964504e-07   80
11   3   105.000000   0.100000   0.094350   2667.728223  1.200165790000e-04   1.097679140000e-04    4.498830801626e-08   4.114658796711e-08   80
11   4   105.000000   0.140000   0.130814   2836.956550  3.389548490000e-05   2.886012080000e-05    1.194783363883e-08   1.017291604272e-08   80
11   5   105.000000   0.180000   0.164064   3080.296531  1.288051220000e-05   1.073123070000e-05    4.181581893292e-09   3.483830401392e-09   80
