#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
15.000000   0.032230   6.748747625063e-07
15.000000   0.062477   1.662514096672e-07
15.000000   0.098535   3.559102597102e-08
15.000000   0.136693   9.028977470629e-09
15.000000   0.175228   2.752104271325e-09
15.000000   0.214385   9.486719569171e-10
15.000000   0.252989   3.801713112688e-10
15.000000   0.291490   1.761757816988e-10
15.000000   0.326038   9.966320976395e-11
15.000000   0.430843   2.930737765227e-11
15.000000   0.464396   2.217367698491e-11
15.000000   0.500803   1.690810481431e-11
15.000000   0.540564   1.252083196919e-11
15.000000   0.580298   9.306189306017e-12
15.000000   0.619627   6.899888100343e-12
15.000000   0.660182   5.156281240905e-12
15.000000   0.699669   3.708769494628e-12
15.000000   0.738147   2.723070210360e-12
15.000000   0.774762   2.021934398738e-12
15.000000   0.816504   1.407463950226e-12
15.000000   0.852701   1.021369170389e-12
15.000000   0.883039   7.766946718621e-13
