#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
85.000000   0.030713   7.174156147957e-07
85.000000   0.061080   1.754682538437e-07
85.000000   0.098387   3.302997630013e-08
85.000000   0.137084   7.645531857150e-09
85.000000   0.176686   1.953987095030e-09
85.000000   0.216791   6.014983425652e-10
85.000000   0.257164   3.343775371366e-10
85.000000   0.297715   1.733067537047e-10
85.000000   0.337714   1.468946286860e-10
85.000000   0.377337   9.519491909854e-11
85.000000   0.415198   7.317801471368e-11
85.000000   0.452612   4.559540434864e-11
85.000000   0.489415   3.289630042814e-11
