#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
15.000000   0.032230   6.751762324309e-07
15.000000   0.062477   1.665726864770e-07
15.000000   0.098535   3.580123946495e-08
15.000000   0.136693   9.154231570098e-09
15.000000   0.175228   2.823884173244e-09
15.000000   0.214385   9.854780908362e-10
15.000000   0.252989   3.956857292908e-10
15.000000   0.291490   1.793092957374e-10
15.000000   0.326038   9.669819137762e-11
15.000000   0.430843   2.158220055065e-11
15.000000   0.464396   1.467992655602e-11
15.000000   0.500803   1.003146989724e-11
15.000000   0.540564   6.638420456241e-12
15.000000   0.580298   4.457696448597e-12
15.000000   0.619627   2.997309525060e-12
15.000000   0.660182   2.039031905836e-12
15.000000   0.699669   1.352600493355e-12
15.000000   0.738147   9.225763426845e-13
15.000000   0.774762   6.425946279851e-13
15.000000   0.816504   4.161641685089e-13
15.000000   0.852701   2.842806637400e-13
15.000000   0.883039   2.140718457143e-13
