#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
65.000000   0.031158   7.047034155440e-07
65.000000   0.061567   1.721484294077e-07
65.000000   0.098469   3.422204437900e-08
65.000000   0.137522   7.791264197336e-09
65.000000   0.177716   2.114191788980e-09
65.000000   0.217850   5.683148793150e-10
65.000000   0.258873   2.333277233900e-10
65.000000   0.299371   1.153480198526e-10
65.000000   0.339830   8.766040842414e-11
65.000000   0.379859   7.768528649578e-11
65.000000   0.419719   6.809971267045e-11
65.000000   0.459623   6.247196755778e-11
65.000000   0.499139   5.387757024328e-11
65.000000   0.538416   5.098567298295e-11
65.000000   0.577658   3.901649448296e-11
65.000000   0.616164   3.090964653298e-11
65.000000   0.654701   1.873650629605e-11
65.000000   0.693899   1.024061431678e-11
65.000000   0.730680   5.695570442177e-12
65.000000   0.761703   2.836557558307e-12
