#This file contains combined (averaged) Reduced Xsec
#Red Xsec Units: MeV^-3
#!thnq_bin[f,0]/  pm_avg[f,1]/   red_fsiXsec_theory[f,2]/
45.000000   0.031473   6.939352940607e-07
45.000000   0.062411   1.652806128869e-07
45.000000   0.099207   3.407190618723e-08
45.000000   0.138440   8.076266030891e-09
45.000000   0.178375   2.249913640867e-09
45.000000   0.218252   7.600729766312e-10
45.000000   0.257816   2.968895419396e-10
45.000000   0.297900   1.330188074964e-10
45.000000   0.337974   7.681825437729e-11
45.000000   0.378275   4.949892564923e-11
45.000000   0.426548   3.160218218086e-11
45.000000   0.463456   2.377792081606e-11
45.000000   0.501495   1.806176796061e-11
45.000000   0.546284   1.286529916961e-11
45.000000   0.582744   9.854477538366e-12
45.000000   0.621049   7.550753056660e-12
45.000000   0.659422   5.769458330403e-12
45.000000   0.696996   4.402036906238e-12
45.000000   0.739832   3.080818441976e-12
45.000000   0.779405   2.270317217208e-12
45.000000   0.819129   1.716270274715e-12
45.000000   0.858869   1.304564019494e-12
45.000000   0.898569   9.855389937884e-13
45.000000   0.938345   7.256890250917e-13
45.000000   0.978177   5.702755872428e-13
45.000000   1.017958   3.924079528250e-13
45.000000   1.057689   2.804681336883e-13
45.000000   1.097505   2.046641757968e-13
45.000000   1.137054   1.399323467319e-13
45.000000   1.173010   9.713759614019e-14
