#theta_nq = 85 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%]. 
#pm_bin: central bin with +/- 0.02 GeV. dataXsec with with nan values have > 50%% stats uncertainty should be ignored.
#dataXsec [ub MeV^-1 sr^-2], pm_bin[GeV/c], pm_avg[GeV/c], rel_*err are in percent  
#!pm_bin[i,0]/  pm_avg[f,1]/  dataXsec[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03231       2.38535E-03              8.87032              3.75654              9.63297              
0.06000         0.05981       7.82004E-04              4.30014              3.69884              5.67209              
0.10000         0.09790       1.24316E-04              3.87841              3.76450              5.40495              
0.14000         0.13759       2.80891E-05              4.98920              3.83694              6.29399              
0.18000         0.17779       8.22222E-06              7.74291              3.86469              8.65382              
0.22000         0.21862       3.05677E-06              12.68902             3.87945              13.26881             
0.26000         0.25921       1.47489E-06              21.34879             3.88355              21.69914             
0.30000         0.29994       1.02917E-06              19.32358             3.86403              19.70612             
0.34000         0.33991       7.64361E-07              20.48457             3.83094              20.83971             
0.38000         0.37952       5.68880E-07              24.62969             3.79143              24.91980             
0.42000         0.41918       2.31990E-07              40.85658             3.76834              41.03000             
0.46000         0.45878       1.41524E-07              0.00000              3.76207              0.00000              
0.50000         0.49827       6.29793E-08              0.00000              3.76275              0.00000              
0.54000         0.53729       9.77467E-08              0.00000              3.77375              0.00000              
0.58000         nan           -1.00000E+00             100.00000            3.79402              100.07195            
0.62000         nan           -1.00000E+00             100.00000            3.81017              100.07256            
0.66000         nan           -1.00000E+00             100.00000            3.83301              100.07343            
0.70000         nan           -1.00000E+00             100.00000            3.86951              100.07484            
0.74000         nan           -1.00000E+00             100.00000            3.90827              100.07634            
0.78000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.82000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.86000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.90000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.94000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.98000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.02000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.06000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.10000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.14000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.18000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
