#theta_nq = 65 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%]. 
#pm_bin: central bin with +/- 0.02 GeV. dataXsec with with nan values have > 50%% stats uncertainty should be ignored.
#dataXsec [ub MeV^-1 sr^-2], pm_bin[GeV/c], pm_avg[GeV/c], rel_*err are in percent  
#!pm_bin[i,0]/  pm_avg[f,1]/  dataXsec[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03201       2.63142E-03              9.54809              3.87357              10.30391             
0.06000         0.05898       7.98260E-04              4.86918              4.62913              6.71846              
0.10000         0.09658       1.48660E-04              4.86259              5.60016              7.41665              
0.14000         0.13579       3.28723E-05              7.00190              5.55861              8.94007              
0.18000         0.17593       6.68416E-06              13.98359             4.93715              14.82957             
0.22000         0.21683       1.59244E-06              31.70341             4.45863              32.01539             
0.26000         0.25715       1.31844E-06              35.77355             4.15899              36.01450             
0.30000         0.29807       2.80461E-07              0.00000              3.93403              0.00000              
0.34000         nan           -1.00000E+00             100.00000            3.80101              100.07221            
0.38000         0.38669       5.33808E-07              0.00000              3.72977              0.00000              
0.42000         0.42498       2.93384E-07              0.00000              3.69909              0.00000              
0.46000         0.46269       3.36521E-07              0.00000              3.68462              0.00000              
0.50000         0.50230       -1.00000E+00             100.00000            3.67646              100.06756            
0.54000         0.54122       -1.00000E+00             100.00000            3.67263              100.06742            
0.58000         0.58318       -1.00000E+00             100.00000            3.66955              100.06731            
0.62000         0.62058       -1.00000E+00             100.00000            3.67267              100.06742            
0.66000         0.66056       -1.00000E+00             100.00000            3.68912              100.06802            
0.70000         0.69892       -1.00000E+00             100.00000            3.71715              100.06906            
0.74000         0.73716       -1.00000E+00             100.00000            3.66100              100.06699            
0.78000         0.77603       -1.00000E+00             100.00000            3.66100              100.06699            
0.82000         0.81601       -1.00000E+00             100.00000            3.66100              100.06699            
0.86000         0.85494       -1.00000E+00             100.00000            3.66100              100.06699            
0.90000         0.89352       -1.00000E+00             100.00000            3.66100              100.06699            
0.94000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.98000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.02000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.06000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.10000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.14000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.18000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
