#theta_nq = 95 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%]. 
#pm_bin: central bin with +/- 0.02 GeV. dataXsec with with nan values have > 50%% stats uncertainty should be ignored.
#dataXsec [ub MeV^-1 sr^-2], pm_bin[GeV/c], pm_avg[GeV/c], rel_*err are in percent  
#!pm_bin[i,0]/  pm_avg[f,1]/  dataXsec[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03213       2.60326E-03              8.99274              3.82561              9.77265              
0.06000         0.06053       7.80252E-04              4.26899              4.16029              5.96089              
0.10000         0.09861       1.36497E-04              3.63423              4.47556              5.76526              
0.14000         0.13869       3.01348E-05              4.38370              4.77560              6.48253              
0.18000         0.17838       9.14550E-06              6.26339              4.78748              7.88353              
0.22000         0.21883       4.15549E-06              8.31434              4.75966              9.58033              
0.26000         0.25901       1.80721E-06              12.22169             4.59006              13.05521             
0.30000         0.29899       8.27076E-07              18.01866             4.37639              18.54251             
0.34000         0.33891       6.74038E-07              21.36433             4.19030              21.77138             
0.38000         0.37883       7.44470E-07              22.40967             4.02537              22.76834             
0.42000         0.41818       3.55815E-07              37.83571             3.93827              38.04012             
0.46000         0.45701       2.69690E-07              0.00000              3.90039              0.00000              
0.50000         nan           -1.00000E+00             100.00000            3.87139              100.07491            
0.54000         nan           -1.00000E+00             100.00000            3.86663              100.07473            
0.58000         nan           -1.00000E+00             100.00000            3.88782              100.07555            
0.62000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.66000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.70000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.74000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.78000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.82000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.86000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.90000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.94000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.98000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.02000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.06000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.10000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.14000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.18000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
