#theta_nq = 55 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%]. 
#pm_bin: central bin with +/- 0.02 GeV. dataXsec with with nan values have > 50%% stats uncertainty should be ignored.
#dataXsec [ub MeV^-1 sr^-2], pm_bin[GeV/c], pm_avg[GeV/c], rel_*err are in percent  
#!pm_bin[i,0]/  pm_avg[f,1]/  dataXsec[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03135       2.67066E-03              10.16139             4.06213              10.94325             
0.06000         0.05799       7.73115E-04              5.41667              5.76355              7.90942              
0.10000         0.09654       1.36565E-04              5.85441              7.00714              9.13094              
0.14000         0.13567       3.59508E-05              8.62271              6.92415              11.05871             
0.18000         0.17490       8.58921E-06              18.35507             6.30948              19.40923             
0.22000         0.21307       1.10227E-06              0.00000              5.52736              0.00000              
0.26000         0.25339       1.64724E-06              0.00000              4.94064              0.00000              
0.30000         nan           -1.00000E+00             100.00000            4.37591              100.09570            
0.34000         nan           -1.00000E+00             100.00000            3.90561              100.07624            
0.38000         0.38595       -1.00000E+00             100.00000            3.66100              100.06699            
0.42000         0.42326       -1.00000E+00             100.00000            3.66100              100.06699            
0.46000         0.46538       -1.00000E+00             100.00000            3.66100              100.06699            
0.50000         0.50462       -1.00000E+00             100.00000            3.66100              100.06699            
0.54000         0.54230       -1.00000E+00             100.00000            3.66100              100.06699            
0.58000         0.58117       -1.00000E+00             100.00000            3.66100              100.06699            
0.62000         0.62050       -1.00000E+00             100.00000            3.66100              100.06699            
0.66000         0.66011       -1.00000E+00             100.00000            3.66100              100.06699            
0.70000         0.69960       -1.00000E+00             100.00000            3.66100              100.06699            
0.74000         0.73933       -1.00000E+00             100.00000            3.66100              100.06699            
0.78000         0.77900       -1.00000E+00             100.00000            3.66100              100.06699            
0.82000         0.81856       -1.00000E+00             100.00000            3.66100              100.06699            
0.86000         0.85833       -1.00000E+00             100.00000            3.66100              100.06699            
0.90000         0.89803       -1.00000E+00             100.00000            3.66100              100.06699            
0.94000         0.93774       -1.00000E+00             100.00000            3.66100              100.06699            
0.98000         0.97741       -1.00000E+00             100.00000            3.66100              100.06699            
1.02000         1.01709       -1.00000E+00             100.00000            3.66100              100.06699            
1.06000         1.05682       -1.00000E+00             100.00000            3.66100              100.06699            
1.10000         1.09620       -1.00000E+00             100.00000            3.66100              100.06699            
1.14000         1.13565       -1.00000E+00             100.00000            3.66100              100.06699            
1.18000         1.17182       -1.00000E+00             100.00000            3.66100              100.06699            
