#theta_nq = 75 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%]. 
#pm_bin: central bin with +/- 0.02 GeV. dataXsec with with nan values have > 50%% stats uncertainty should be ignored.
#dataXsec [ub MeV^-1 sr^-2], pm_bin[GeV/c], pm_avg[GeV/c], rel_*err are in percent  
#!pm_bin[i,0]/  pm_avg[f,1]/  dataXsec[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03171       2.48544E-03              9.12815              3.73853              9.86406              
0.06000         0.05974       7.54700E-04              4.50459              3.97282              6.00622              
0.10000         0.09702       1.43934E-04              4.23184              4.06831              5.87023              
0.14000         0.13679       2.71314E-05              5.97492              4.01521              7.19872              
0.18000         0.17715       8.10567E-06              10.67495             3.82404              11.33922             
0.22000         0.21708       2.08525E-06              21.85449             3.75089              22.17404             
0.26000         0.25832       9.20485E-07              30.78579             3.70141              31.00751             
0.30000         0.29956       6.61315E-07              32.13913             3.67888              32.34900             
0.34000         0.34019       5.98873E-07              32.69799             3.67093              32.90341             
0.38000         0.38006       2.49889E-07              0.00000              3.66993              0.00000              
0.42000         0.41983       1.28239E-07              0.00000              3.67117              0.00000              
0.46000         0.45934       3.99339E-07              40.98397             3.67450              41.14837             
0.50000         0.49901       1.53165E-07              0.00000              3.67962              0.00000              
0.54000         0.53817       9.03593E-08              0.00000              3.69016              0.00000              
0.58000         nan           -1.00000E+00             100.00000            3.70854              100.06874            
0.62000         nan           -1.00000E+00             100.00000            3.73119              100.06958            
0.66000         nan           -1.00000E+00             100.00000            3.76333              100.07079            
0.70000         nan           -1.00000E+00             100.00000            3.80319              100.07230            
0.74000         nan           -1.00000E+00             100.00000            3.83827              100.07363            
0.78000         nan           -1.00000E+00             100.00000            3.87975              100.07523            
0.82000         nan           -1.00000E+00             100.00000            3.94376              100.07774            
0.86000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.90000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.94000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.98000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.02000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.06000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.10000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.14000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
1.18000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
