#theta_nq = 45 +/- 5 deg :: Q2 = 3.5 +/- 0.5 GeV2 :: All (*_syst) errors are relative, dsig / sig [%]. 
#pm_bin: central bin with +/- 0.02 GeV. dataXsec with with nan values have > 50%% stats uncertainty should be ignored.
#dataXsec [ub MeV^-1 sr^-2], pm_bin[GeV/c], pm_avg[GeV/c], rel_*err are in percent  
#!pm_bin[i,0]/  pm_avg[f,1]/  dataXsec[f,2]/  rel_stats_err[f,6]/  rel_syst_tot[f,9]/   rel_tot_err[f,10]/
0.02000         0.03068       3.07356E-03              11.18990             4.41226              12.02838             
0.06000         0.05804       7.99079E-04              6.21662              6.38751              8.91329              
0.10000         0.09531       1.51196E-04              7.29787              7.96704              10.80429             
0.14000         0.13365       3.27136E-05              13.32475             7.77252              15.42599             
0.18000         0.16738       1.84199E-05              33.93155             7.24222              34.69582             
0.22000         nan           -1.00000E+00             100.00000            7.55564              100.28503            
0.26000         nan           -1.00000E+00             100.00000            3.66100              100.06699            
0.30000         0.31745       -1.00000E+00             100.00000            3.66100              100.06699            
0.34000         0.34768       -1.00000E+00             100.00000            3.66100              100.06699            
0.38000         0.38332       -1.00000E+00             100.00000            3.66100              100.06699            
0.42000         0.42526       -1.00000E+00             100.00000            3.66100              100.06699            
0.46000         0.46385       -1.00000E+00             100.00000            3.66100              100.06699            
0.50000         0.50159       -1.00000E+00             100.00000            3.66100              100.06699            
0.54000         0.54044       -1.00000E+00             100.00000            3.66100              100.06699            
0.58000         0.57974       -1.00000E+00             100.00000            3.66100              100.06699            
0.62000         0.61922       -1.00000E+00             100.00000            3.66100              100.06699            
0.66000         0.65889       -1.00000E+00             100.00000            3.66100              100.06699            
0.70000         0.69869       -1.00000E+00             100.00000            3.66100              100.06699            
0.74000         0.73850       -1.00000E+00             100.00000            3.66100              100.06699            
0.78000         0.77856       -1.00000E+00             100.00000            3.66100              100.06699            
0.82000         0.81836       -1.00000E+00             100.00000            3.66100              100.06699            
0.86000         0.85822       -1.00000E+00             100.00000            3.66100              100.06699            
0.90000         0.89831       -1.00000E+00             100.00000            3.66100              100.06699            
0.94000         0.93852       -1.00000E+00             100.00000            3.66100              100.06699            
0.98000         0.97853       -1.00000E+00             100.00000            3.66100              100.06699            
1.02000         1.01844       -1.00000E+00             100.00000            3.66100              100.06699            
1.06000         1.05818       -1.00000E+00             100.00000            3.66100              100.06699            
1.10000         1.09796       -1.00000E+00             100.00000            3.66100              100.06699            
1.14000         1.13756       -1.00000E+00             100.00000            3.66100              100.06699            
1.18000         1.17299       -1.00000E+00             100.00000            3.66100              100.06699            
