
    # average kinematics results
    # averaged kinematic varibles used as input to calculate the averaged 
    # kinematics: Ei, omega, th_e, pf # variables with _mc attached are from histograms not calculated
    #! th_nq_mc[f,0]/ th_nq_calc[f,1]/ pm[f,2]/ Ei[f,3]/ omega[f,4]/ th_e[f,5]/ q_lab[f,6]/ pf[f,7]/ pm_mc[f,8]/ q_mc[f,9]/ th_pq_cm[f,10]/ beta_cm[f,11]/  Q^2[f,12]/  phi[f,13]/ cos_phi[f,14]/ sin_phi[f,15]/ pm_b[f,16]/ ix[i,17]/ iy[i,18]/ pm_b_av[f,19]/ tot_err[f, 20]/ kin[s,21]/
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.18  10 5 29.135132833333333 0.0 750_set3 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.18  10 5 29.135132833333333 0.0 750_set2 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.18  10 5 29.135132833333333 0.0 580_set1 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.18  10 5 29.135132833333333 0.0 580_set2 
95.0 92.814521 175.238887 10598.907471 2258.933052 12.270512 3023.493596 3037.145853 174.810797 3023.501635 9.57735 0.731276 4038734.991634975 178.13105195844778 -0.80289 0.026199 0.18  10 5 29.135132833333333 0.0 80 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.22  10 6 35.556696333333335 0.0 750_set1 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.22  10 6 35.556696333333335 0.0 750_set3 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.22  10 6 35.556696333333335 0.0 750_set2 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.22  10 6 35.556696333333335 0.0 580_set1 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.22  10 6 35.556696333333335 0.0 580_set2 
95.0 91.858306 213.576906 10598.662376 2276.453003 12.249793 3032.941005 3047.352552 213.340178 3032.953024 11.591361 0.730466 4016492.864942693 179.4886299824033 -0.792688 0.007075 0.22  10 6 35.556696333333335 0.0 80 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.26  10 7 41.8795645 0.0 750_set1 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.26  10 7 41.8795645 0.0 750_set3 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.26  10 7 41.8795645 0.0 750_set2 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.26  10 7 41.8795645 0.0 580_set1 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.26  10 7 41.8795645 0.0 580_set2 
95.0 91.092516 251.449463 10598.180771 2295.060142 12.219535 3042.154296 3057.302713 251.277387 3042.166471 13.538087 0.729416 3987401.7052741963 179.84911856737648 -0.790238 0.002081 0.26  10 7 41.8795645 0.0 80 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.3  10 8 47.908390499999996 0.0 750_set1 
95.0 -1.0 0.0 0.0 -0.51099 0.0 0.51099 0.0 0.0 0.0 180.0 0.000273 0.0 0.0 0.0 0.0 0.3  10 8 47.908390499999996 0.0 750_set3 
